,Engine Address,Message Descriptor,Sequence Number,Data byte count,RPM (setpoint),RPM (setpoint %),RPM (actual),RPM (actual %),EGT,Pump Volts (setpoint),Pump Volts (actual),State,Battery Volts,Battery Volt Level %,Battery Current,Airspeed,PWM-THR,PWM-AUX,CRC16_Given,CRC16_Calculated
0,1,1,1,26,0,0.0,0,0.0,28.6,0.0,0.0,0,12.07,24.5,0.19,0.0,0.0,0.0,54822,54822
1,1,1,1,26,0,0.0,0,0.0,28.6,0.0,0.0,0,12.07,24.5,0.19,0.0,0.0,0.0,54822,54822
2,1,1,1,26,0,0.0,0,0.0,28.400000000000002,0.0,0.0,0,12.08,24.0,0.18,0.0,0.0,0.0,35276,35276
3,1,1,1,26,0,0.0,0,0.0,28.400000000000002,0.0,0.0,0,12.08,24.0,0.18,0.0,0.0,0.0,35276,35276
4,1,1,1,26,0,0.0,0,0.0,28.3,0.0,0.0,0,12.08,24.0,0.18,0.0,0.0,0.0,63969,63969
5,1,1,1,26,0,0.0,0,0.0,28.200000000000003,0.0,0.0,0,12.08,24.0,0.18,0.0,0.0,0.0,59886,59886
6,1,1,1,26,0,0.0,0,0.0,28.200000000000003,0.0,0.0,0,12.08,24.0,0.18,0.0,0.0,0.0,59886,59886
7,1,1,1,26,0,0.0,0,0.0,28.200000000000003,0.0,0.0,0,12.08,24.0,0.19,0.0,0.0,0.0,30267,30267
8,1,1,1,26,0,0.0,0,0.0,28.200000000000003,0.0,0.0,0,12.08,24.0,0.19,0.0,0.0,0.0,30267,30267
9,1,1,1,26,0,0.0,0,0.0,28.1,0.0,0.0,0,12.08,24.0,0.18,0.0,0.0,0.0,55807,55807
10,1,1,1,26,0,0.0,0,0.0,28.1,0.0,0.0,0,12.08,24.0,0.18,0.0,0.0,0.0,55807,55807
11,1,1,1,26,0,0.0,0,0.0,28.1,0.0,0.0,0,12.08,24.0,0.19,0.0,0.0,0.0,17962,17962
12,1,1,1,26,0,0.0,0,0.0,28.1,0.0,0.0,0,12.08,24.0,0.19,0.0,0.0,0.0,17962,17962
13,1,1,1,26,0,0.0,0,0.0,28.1,0.0,0.0,0,12.08,24.0,0.19,0.0,0.0,0.0,17962,17962
14,1,1,1,26,0,0.0,0,0.0,28.3,0.0,0.0,0,12.08,23.5,0.18,0.0,0.0,0.0,36957,36957
15,1,1,1,26,0,0.0,0,0.0,28.3,0.0,0.0,0,12.08,23.5,0.18,0.0,0.0,0.0,36957,36957
16,1,1,1,26,0,0.0,0,0.0,28.5,0.0,0.0,0,12.08,23.5,0.18,0.0,0.0,0.0,61567,61567
17,1,1,1,26,0,0.0,0,0.0,28.5,0.0,0.0,0,12.08,23.5,0.18,0.0,0.0,0.0,61567,61567
