,Engine Address,Message Descriptor,Sequence Number,Data byte count,RPM (setpoint),RPM (setpoint %),RPM (actual),RPM (actual %),EGT,Pump Volts (setpoint),Pump Volts (actual),State,Battery Volts,Battery Volt Level %,Battery Current,Airspeed,PWM-THR,PWM-AUX,CRC16_Given,CRC16_Calculated
0,1,1,0,26,0,0.0,0,0.0,21.3,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,8645,8645
1,1,1,0,26,0,0.0,0,0.0,21.3,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,8645,8645
2,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.0,0.19,0.0,0.0,0.0,23593,23593
3,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.0,0.19,0.0,0.0,0.0,23593,23593
4,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.0,0.19,0.0,0.0,0.0,23593,23593
5,1,1,0,26,0,0.0,0,0.0,21.5,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,475,475
6,1,1,0,26,0,0.0,0,0.0,21.5,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,475,475
7,1,1,0,26,0,0.0,0,0.0,21.200000000000003,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,12746,12746
8,1,1,0,26,0,0.0,0,0.0,21.200000000000003,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,12746,12746
9,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
10,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
11,1,1,0,26,0,0.0,0,0.0,21.200000000000003,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,12746,12746
12,1,1,0,26,0,0.0,0,0.0,21.3,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,8645,8645
13,1,1,0,26,0,0.0,0,0.0,21.3,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,8645,8645
14,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,4564,4564
15,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,4564,4564
16,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,4564,4564
17,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,4564,4564
18,1,1,0,26,0,0.0,0,0.0,21.5,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,475,475
19,1,1,0,26,0,0.0,0,0.0,21.5,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,475,475
20,1,1,0,26,0,0.0,0,0.0,21.5,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,475,475
21,1,1,0,26,0,0.0,0,0.0,21.5,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,475,475
22,1,1,0,26,0,0.0,0,0.0,21.5,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,475,475
23,1,1,0,26,0,0.0,0,0.0,21.6,0.0,0.0,0,11.48,90.5,0.2,0.0,0.0,0.0,13974,13974
24,1,1,0,26,0,0.0,0,0.0,21.6,0.0,0.0,0,11.48,90.5,0.2,0.0,0.0,0.0,13974,13974
25,1,1,0,26,0,0.0,0,0.0,21.6,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,61838,61838
26,1,1,0,26,0,0.0,0,0.0,21.6,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,61838,61838
27,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,4564,4564
28,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,4564,4564
29,1,1,0,26,0,0.0,0,0.0,21.400000000000002,0.0,0.0,0,11.48,90.5,0.2,0.0,0.0,0.0,54988,54988
30,1,1,0,26,0,0.0,0,0.0,21.200000000000003,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,12746,12746
31,1,1,0,26,0,0.0,0,0.0,21.200000000000003,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,12746,12746
32,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
33,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
34,1,1,0,26,0,0.0,0,0.0,21.3,0.0,0.0,0,11.48,90.5,0.2,0.0,0.0,0.0,59101,59101
35,1,1,0,26,0,0.0,0,0.0,21.3,0.0,0.0,0,11.48,90.5,0.2,0.0,0.0,0.0,59101,59101
36,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
37,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
38,1,1,0,26,0,0.0,0,0.0,21.3,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,8645,8645
39,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
40,1,1,0,26,0,0.0,0,0.0,21.1,0.0,0.0,0,11.48,90.5,0.19,0.0,0.0,0.0,16871,16871
