,Engine Address,Message Descriptor,Sequence Number,Data byte count,RPM (setpoint),RPM (setpoint %),RPM (actual),RPM (actual %),EGT,Pump Volts (setpoint),Pump Volts (actual),State,Battery Volts,Battery Volt Level %,Battery Current,Airspeed,PWM-THR,PWM-AUX,CRC16_Given,CRC16_Calculated
0,1,1,2,26,0,0.0,140,0.0,23.900000000000002,0.0,0.0,15,11.35,100.0,3.25,0.0,0.0,0.0,27226,27226
1,1,1,2,26,0,0.0,140,0.0,23.900000000000002,0.0,0.0,15,11.34,100.0,3.22,0.0,0.0,0.0,33125,33125
2,1,1,2,26,0,0.0,140,0.0,23.900000000000002,0.0,0.0,15,11.34,100.0,3.22,0.0,0.0,0.0,33125,33125
3,1,1,2,26,0,0.0,130,0.0,23.900000000000002,0.0,0.0,15,11.33,100.0,3.0700000000000003,0.0,0.0,0.0,8737,8737
4,1,1,2,26,0,0.0,130,0.0,23.900000000000002,0.0,0.0,15,11.33,100.0,3.0700000000000003,0.0,0.0,0.0,8737,8737
5,1,1,2,26,0,0.0,130,0.0,24.1,0.0,0.0,15,11.32,100.0,3.2,0.0,0.0,0.0,24479,24479
6,1,1,2,26,0,0.0,130,0.0,24.1,0.0,0.0,15,11.32,100.0,3.2,0.0,0.0,0.0,24479,24479
7,1,1,2,26,0,0.0,130,0.0,24.1,0.0,0.0,15,11.32,100.0,3.0100000000000002,0.0,0.0,0.0,54613,54613
8,1,1,2,26,0,0.0,130,0.0,24.3,0.0,0.0,15,11.31,100.0,3.15,0.0,0.0,0.0,56506,56506
9,1,1,2,26,0,0.0,140,0.0,24.3,0.0,0.0,15,11.31,100.0,3.15,0.0,0.0,0.0,34062,34062
10,1,1,2,26,0,0.0,160,0.0,24.200000000000003,0.0,0.0,15,11.3,100.0,3.06,0.0,0.0,0.0,38645,38645
11,1,1,2,26,0,0.0,200,0.0,24.200000000000003,0.0,0.0,15,11.3,100.0,3.06,0.0,0.0,0.0,19269,19269
12,1,1,2,26,0,0.0,240,0.0,24.1,0.0,0.0,15,11.3,100.0,3.15,0.0,0.0,0.0,21676,21676
13,1,1,2,26,0,0.0,290,0.0,24.1,0.0,0.0,15,11.3,100.0,3.15,0.0,0.0,0.0,48752,48752
14,1,1,2,26,0,0.0,350,0.0,24.0,0.0,0.0,15,11.290000000000001,100.0,3.12,0.0,0.0,0.0,49524,49524
15,1,1,2,26,0,0.0,400,0.0,24.0,0.0,0.0,15,11.290000000000001,100.0,3.12,0.0,0.0,0.0,11185,11185
16,1,1,2,26,0,0.0,510,0.0,24.0,0.0,0.0,15,11.28,100.0,3.1,0.0,0.0,0.0,1409,1409
17,1,1,2,26,0,0.0,560,0.0,23.900000000000002,0.0,0.0,15,11.28,100.0,3.15,0.0,0.0,0.0,14783,14783
18,1,1,2,26,0,0.0,620,0.0,23.900000000000002,0.0,0.0,15,11.28,100.0,3.15,0.0,0.0,0.0,35543,35543
19,1,1,2,26,0,0.0,670,0.0,23.900000000000002,0.0,0.0,15,11.27,100.0,3.04,0.0,0.0,0.0,2284,2284
20,1,1,2,26,0,0.0,720,0.0,23.900000000000002,0.0,0.0,15,11.27,100.0,3.04,0.0,0.0,0.0,57897,57897
21,1,1,2,26,0,0.0,770,0.0,23.900000000000002,0.0,0.0,15,11.27,100.0,3.0700000000000003,0.0,0.0,0.0,41115,41115
22,1,1,2,26,0,0.0,830,0.0,23.900000000000002,0.0,0.0,15,11.27,100.0,3.0700000000000003,0.0,0.0,0.0,52849,52849
23,1,1,2,26,0,0.0,880,0.0,23.900000000000002,0.0,0.0,15,11.26,100.0,2.9,0.0,0.0,0.0,8847,8847
24,1,1,2,26,0,0.0,950,0.0,23.900000000000002,0.0,0.0,15,11.26,100.0,2.9,0.0,0.0,0.0,42635,42635
25,1,1,2,26,0,0.0,1220,0.0,23.900000000000002,0.0,0.0,15,11.24,100.0,5.25,0.0,0.0,0.0,14680,14680
26,1,1,2,26,0,0.0,1330,0.0,23.900000000000002,0.0,0.0,15,11.22,100.0,6.78,0.0,0.0,0.0,6784,6784
27,1,1,2,26,0,0.0,1470,0.0,23.900000000000002,0.0,0.0,15,11.22,100.0,6.78,0.0,0.0,0.0,50971,50971
28,1,1,2,26,0,0.0,1760,0.0,23.900000000000002,0.0,0.0,15,11.18,100.0,9.86,0.0,0.0,0.0,50546,50546
29,1,1,2,26,0,0.0,1760,0.0,23.900000000000002,0.0,0.0,15,11.18,100.0,9.86,0.0,0.0,0.0,50546,50546
30,1,1,2,26,0,0.0,1900,0.0,23.900000000000002,0.0,0.0,15,11.14,100.0,12.23,0.0,0.0,0.0,29311,29311
31,1,1,2,26,0,0.0,2050,0.0,23.900000000000002,0.0,0.0,15,11.14,100.0,12.23,0.0,0.0,0.0,11011,11011
32,1,1,2,26,0,0.0,2200,0.0,23.8,0.0,0.0,15,11.11,100.0,13.47,0.0,0.0,0.0,65493,65493
33,1,1,2,26,0,0.0,2340,0.0,23.8,0.0,0.0,15,11.11,100.0,13.47,0.0,0.0,0.0,65448,65448
34,1,1,2,26,0,0.0,2600,0.0,23.900000000000002,0.0,0.0,15,11.07,100.0,14.4,0.0,0.0,0.0,32025,9567
35,1,1,2,26,0,0.0,2730,0.0,23.900000000000002,0.0,0.0,8,11.07,100.0,14.4,0.0,0.0,0.0,31662,31662
36,1,1,2,26,0,0.0,2880,0.0,23.8,0.0,0.0,8,11.08,100.0,12.68,0.0,0.0,0.0,46891,46891
37,1,1,2,26,0,0.0,2980,0.0,23.8,0.0,0.0,8,11.08,100.0,12.68,0.0,0.0,0.0,27266,27266
38,1,1,2,26,0,0.0,2980,0.0,24.1,0.0,0.0,0,11.09,100.0,0.31,0.0,0.0,0.0,63033,63033
39,1,1,2,26,0,0.0,2900,0.0,24.1,0.0,0.0,0,11.09,100.0,0.31,0.0,0.0,0.0,17736,17736
40,1,1,2,26,0,0.0,2730,0.0,24.3,0.0,0.0,0,11.11,100.0,0.23,0.0,0.0,0.0,2389,2389
41,1,1,2,26,0,0.0,2660,0.0,24.400000000000002,0.0,0.0,0,11.120000000000001,100.0,0.22,0.0,0.0,0.0,53063,53063
42,1,1,2,26,0,0.0,2550,0.0,24.400000000000002,0.0,0.0,0,11.120000000000001,100.0,0.22,0.0,0.0,0.0,58277,58277
43,1,1,2,26,0,0.0,2550,0.0,24.5,0.0,0.0,0,11.13,100.0,0.2,0.0,0.0,0.0,59446,59446
44,1,1,2,26,0,0.0,2470,0.0,24.5,0.0,0.0,0,11.13,100.0,0.2,0.0,0.0,0.0,23367,23367
45,1,1,2,26,0,0.0,2360,0.0,24.6,0.0,0.0,0,11.14,100.0,0.19,0.0,0.0,0.0,23569,23569
46,1,1,2,26,0,0.0,2260,0.0,24.6,0.0,0.0,0,11.14,100.0,0.19,0.0,0.0,0.0,23560,23560
47,1,1,2,26,0,0.0,2260,0.0,24.700000000000003,0.0,0.0,0,11.15,100.0,0.19,0.0,0.0,0.0,24608,24608
48,1,1,2,26,0,0.0,2280,0.0,24.700000000000003,0.0,0.0,0,11.15,100.0,0.19,0.0,0.0,0.0,54088,54088
49,1,1,2,26,0,0.0,2130,0.0,24.700000000000003,0.0,0.0,0,11.16,100.0,0.19,0.0,0.0,0.0,37828,37828
50,1,1,2,26,0,0.0,2040,0.0,24.700000000000003,0.0,0.0,0,11.17,100.0,0.19,0.0,0.0,0.0,21773,21773
51,1,1,2,26,0,0.0,1980,0.0,24.700000000000003,0.0,0.0,0,11.17,100.0,0.19,0.0,0.0,0.0,34980,34980
52,1,1,2,26,0,0.0,1970,0.0,24.8,0.0,0.0,0,11.18,100.0,0.19,0.0,0.0,0.0,21804,21804
53,1,1,2,26,0,0.0,1990,0.0,24.8,0.0,0.0,0,11.18,100.0,0.19,0.0,0.0,0.0,15348,15348
54,1,1,2,26,0,0.0,1970,0.0,24.8,0.0,0.0,0,11.19,100.0,0.19,0.0,0.0,0.0,30987,30987
55,1,1,2,26,0,0.0,1950,0.0,24.8,0.0,0.0,0,11.19,100.0,0.19,0.0,0.0,0.0,51811,51811
56,1,1,2,26,0,0.0,1850,0.0,24.8,0.0,0.0,0,11.200000000000001,100.0,0.2,0.0,0.0,0.0,801,801
57,1,1,2,26,0,0.0,1770,0.0,24.8,0.0,0.0,0,11.200000000000001,100.0,0.2,0.0,0.0,0.0,45136,45136
58,1,1,2,26,0,0.0,1710,0.0,24.8,0.0,0.0,0,11.200000000000001,100.0,0.19,0.0,0.0,0.0,50194,50194
59,1,1,2,26,0,0.0,1700,0.0,24.8,0.0,0.0,0,11.21,100.0,0.19,0.0,0.0,0.0,57177,57177
60,1,1,2,26,0,0.0,1720,0.0,24.8,0.0,0.0,0,11.21,100.0,0.19,0.0,0.0,0.0,27697,27697
61,1,1,2,26,0,0.0,1680,0.0,24.8,0.0,0.0,0,11.22,100.0,0.19,0.0,0.0,0.0,50664,50664
62,1,1,2,26,0,0.0,1600,0.0,24.8,0.0,0.0,0,11.22,100.0,0.19,0.0,0.0,0.0,30361,30361
63,1,1,2,26,0,0.0,1510,0.0,24.8,0.0,0.0,0,11.22,100.0,0.2,0.0,0.0,0.0,34448,34448
64,1,1,2,26,0,0.0,1440,0.0,24.8,0.0,0.0,0,11.22,100.0,0.2,0.0,0.0,0.0,660,660
65,1,1,2,26,0,0.0,1360,0.0,24.8,0.0,0.0,0,11.23,100.0,0.2,0.0,0.0,0.0,62257,62257
66,1,1,2,26,0,0.0,1280,0.0,24.8,0.0,0.0,0,11.23,100.0,0.2,0.0,0.0,0.0,16448,16448
67,1,1,2,26,0,0.0,1230,0.0,24.8,0.0,0.0,0,11.24,100.0,0.19,0.0,0.0,0.0,50699,50699
68,1,1,2,26,0,0.0,1220,0.0,24.8,0.0,0.0,0,11.24,100.0,0.2,0.0,0.0,0.0,13951,13951
69,1,1,2,26,0,0.0,1200,0.0,24.8,0.0,0.0,0,11.24,100.0,0.2,0.0,0.0,0.0,22695,22695
70,1,1,2,26,0,0.0,1170,0.0,24.8,0.0,0.0,0,11.25,100.0,0.2,0.0,0.0,0.0,11565,11565
71,1,1,2,26,0,0.0,1150,0.0,24.8,0.0,0.0,0,11.25,100.0,0.2,0.0,0.0,0.0,40517,40517
72,1,1,2,26,0,0.0,1130,0.0,24.900000000000002,0.0,0.0,0,11.25,100.0,0.19,0.0,0.0,0.0,10122,10122
73,1,1,2,26,0,0.0,1110,0.0,24.900000000000002,0.0,0.0,0,11.25,100.0,0.19,0.0,0.0,0.0,18784,18784
74,1,1,2,26,0,0.0,1090,0.0,24.900000000000002,0.0,0.0,0,11.26,100.0,0.2,0.0,0.0,0.0,38089,38089
75,1,1,2,26,0,0.0,1070,0.0,24.900000000000002,0.0,0.0,0,11.26,100.0,0.2,0.0,0.0,0.0,10145,10145
76,1,1,2,26,0,0.0,1070,0.0,24.900000000000002,0.0,0.0,0,11.26,100.0,0.19,0.0,0.0,0.0,57529,57529
77,1,1,2,26,0,0.0,1060,0.0,24.900000000000002,0.0,0.0,0,11.27,100.0,0.2,0.0,0.0,0.0,15594,15594
78,1,1,2,26,0,0.0,1040,0.0,24.900000000000002,0.0,0.0,0,11.27,100.0,0.2,0.0,0.0,0.0,21042,21042
79,1,1,2,26,0,0.0,1040,0.0,24.900000000000002,0.0,0.0,0,11.27,100.0,0.19,0.0,0.0,0.0,38186,38186
